album_name,composer,director,orchestra,solist,instrument,obra_type,nota,obra_number,opus_number,cd_number
"BWV 847","BACH, JOHAN S.- 1685/1750",,,"KIPNIS, IGOR","CLAVECIN","PRELUDIO Y FUGA","DO MENOR",2,0,,,,6,09/01/94
"GOLBERG","BACH, JOHAN S.- 1685/1750",,,"GOULD, GLENN","PIANO","VARIACIONES",,,0,,,159,255,09/01/94
,"BACH, JOHAN S.- 1685/1750","JANIGRO, ANTONIO","LOS SOLISTAS DE ZAGREB",,"2 CLAVICORDIOS Y CUERDAS","CONCIERTO","DO",,0,,,161,266,09/01/94
,"BACH, JOHAN S.- 1685/1750","JANIGRO, ANTONIO","LOS SOLISTAS DE ZAGREB",,"2 CLAVICORDIOS Y CUERDAS","CONCIERTO","DO MENOR",,0,,,161,266,09/01/94
,"BACH, JOHAN S.- 1685/1750","JANIGRO, ANTONIO","LOS SOLISTAS DE ZAGREB",,"4 CLAVICORDIOS Y CUERDAS","CONCIERTO","LA MENOR",,0,,,161,266,09/01/94
"BWV 1027","BACH, JOHAN S.- 1685/1750",,,"ARGERICH, M. Y MAISKY, M.","PIANO Y CELLO","SONATA","SOL MAYOR",1,0,,,183,,09/01/94
"BWV 1028","BACH, JOHAN S.- 1685/1750",,,"ARGERICH, M. Y MAISKY, M.","PIANO Y CELLO","SONATA","RE MAYOR",2,0,,,183,,09/01/94
"BWV 1029","BACH, JOHAN S.- 1685/1750",,,"ARGERICH, M. Y MAISKY, M.","PIANO Y CELLO","SONATA","SOL MENOR",3,0,,,183,,09/01/94
"BWV 547","BACH, JOHAN S.- 1685/1750",,,"SPANYI, MIKLOS","ORGANO","PRELUDIO Y FUGA","DO MAYOR",,0,7,,,,09/01/94
"BWV 664","BACH, JOHAN S.- 1685/1750",,,"SPANYI, MIKLOS","ORGANO","TRIO",,,0,7,,,,09/01/94
"BWV 565","BACH, JOHAN S.- 1685/1750",,,"SPANYI, MIKLOS","ORGANO","TOCATA Y FUGA","RE MENOR",,0,7,,,,09/01/94
"BWV 538 -""DORISCHE""","BACH, JOHAN S.- 1685/1750",,,"SPANYI, MIKLOS","ORGANO","TOCATA Y FUGA",,,0,7,,,,09/01/94
"BWV 572","BACH, JOHAN S.- 1685/1750",,,"SPANYI, MIKLOS","ORGANO","FANTASIA","SOL MAYOR",,0,7,,,,09/01/94
